id,customer_id,text,label,service,amount,currency,date,frequency
EML00028,CUST0259,Your YouTube Premium account was charged $16.69. The current plan remains active.,1,YouTube Premium,16.69,USD,2026-05-19,monthly
EML00029,CUST0270,Billing confirmation for Google One: $15.69.,1,Google One,15.69,USD,2026-04-11,monthly
EML00030,CUST0282,"Payment of LKR 7,650 is due for your LECO account for 02 Jul 2026.",0,LECO,7650.0,LKR,2026-07-02,monthly
EML00031,CUST0082,"Your payment of LKR 45,394 for Google Play was received for the current period.",1,Google Play,45394.0,LKR,2026-01-25,weekly
EML00032,CUST0179,"Payment of LKR 2,380 is due for your SLT account for 27 Apr 2026.",0,SLT,2380.0,LKR,2026-04-27,monthly
EML00033,CUST0223,"Commercial Bank transaction processed: LKR 27,601.",0,Commercial Bank,27601.0,LKR,2026-02-21,one-time
EML00034,CUST0064,"Daraz transaction processed: LKR 94,381.",0,Daraz,94381.0,LKR,2026-01-24,one-time
EML00035,CUST0208,"Payment received for BOC order #884294: LKR 24,885.",0,BOC,24885.0,LKR,2026-03-17,one-time
EML00036,CUST0265,Billing confirmation for YouTube Premium: $17.10.,1,YouTube Premium,17.1,USD,2026-02-28,monthly
EML00037,CUST0239,"CEB billing notice: current amount payable is LKR 6,766.",0,CEB,6766.0,LKR,2026-04-26,monthly
EML00038,CUST0287,Payment of $22.99 was processed for your Netflix plan. Next billing date: 21 Jan 2026.,1,Netflix,22.99,USD,2026-01-21,monthly
EML00039,CUST0019,"Your Mobitel account has a balance of LKR 5,842.",0,Mobitel,5842.0,LKR,2026-03-02,monthly
EML00040,CUST0047,Payment of $9.96 was processed for your Spotify Premium plan. Next billing date: 25 May 2026.,1,Spotify Premium,9.96,USD,2026-05-25,monthly
EML00041,CUST0022,Billing confirmation for Figma: $16.87.,1,Figma,16.87,USD,2026-02-09,monthly
EML00042,CUST0029,"Payment received for Sampath Bank order #143510: LKR 69,668.",0,Sampath Bank,69668.0,LKR,2026-02-01,one-time
EML00043,CUST0139,Billing confirmation for Spotify Premium: $10.52.,1,Spotify Premium,10.52,USD,2026-05-25,monthly
EML00044,CUST0278,"Payment of LKR 5,037 is due for your Mobitel account for 06 Jul 2026.",0,Mobitel,5037.0,LKR,2026-07-06,monthly
EML00045,CUST0266,"Payment of LKR 3,523 is due for your LECO account for 28 Apr 2026.",0,LECO,3523.0,LKR,2026-04-28,monthly
EML00046,CUST0125,"Your NWSDB account has a balance of LKR 4,115.",0,NWSDB,4115.0,LKR,2026-02-16,monthly
EML00047,CUST0173,"Sampath Bank receipt: transaction amount LKR 20,854.",0,Sampath Bank,20854.0,LKR,2026-04-21,one-time
EML00048,CUST0224,Billing confirmation for Spotify Premium: $7.72.,1,Spotify Premium,7.72,USD,2026-02-28,monthly
EML00049,CUST0170,Your payment of $31.44 for Adobe Creative Cloud was received for the current period.,1,Adobe Creative Cloud,31.44,USD,2026-03-31,monthly
EML00050,CUST0047,Payment of $20.00 was processed for your ChatGPT Plus plan. Next billing date: 07 Feb 2026.,1,ChatGPT Plus,20.0,USD,2026-02-07,monthly
EML00051,CUST0197,Your payment of $12.84 for Google One was received for the current period.,1,Google One,12.84,USD,2026-04-09,monthly
EML00052,CUST0006,"Sampath Bank receipt: transaction amount LKR 80,283.",0,Sampath Bank,80283.0,LKR,2026-06-25,one-time
EML00053,CUST0254,"Your LECO account has a balance of LKR 12,094.",0,LECO,12094.0,LKR,2026-03-22,monthly
EML00054,CUST0008,"Payment received for Commercial Bank order #983914: LKR 96,816.",0,Commercial Bank,96816.0,LKR,2026-07-10,one-time
EML00055,CUST0219,"PickMe transaction processed: LKR 93,242.",0,PickMe,93242.0,LKR,2026-05-08,one-time
EML00056,CUST0081,Your payment of $20.00 for ChatGPT Plus was received for the current period.,1,ChatGPT Plus,20.0,USD,2026-01-27,monthly
EML00057,CUST0148,"Commercial Bank transaction processed: LKR 85,331.",0,Commercial Bank,85331.0,LKR,2026-08-21,one-time
EML00058,CUST0118,Payment of $15.29 was processed for your Canva Pro plan. Next billing date: 04 Feb 2026.,1,Canva Pro,15.29,USD,2026-02-04,monthly
EML00059,CUST0152,Your payment of $3.36 for Google One was received for the current period.,1,Google One,3.36,USD,2026-04-10,monthly
EML00060,CUST0122,Billing confirmation for Spotify Premium: $5.39.,1,Spotify Premium,5.39,USD,2026-04-16,monthly
EML00061,CUST0079,Payment of $14.52 was processed for your Figma plan. Next billing date: 16 Apr 2026.,1,Figma,14.52,USD,2026-04-16,monthly
EML00062,CUST0028,Payment of $45.68 was processed for your Adobe Creative Cloud plan. Next billing date: 26 Apr 2026.,1,Adobe Creative Cloud,45.68,USD,2026-04-26,monthly
EML00063,CUST0251,Payment of $8.43 was processed for your Microsoft 365 plan. Next billing date: 30 Apr 2026.,1,Microsoft 365,8.43,USD,2026-04-30,monthly
EML00064,CUST0175,"Payment of LKR 4,256 is due for your Dialog account for 11 May 2026.",0,Dialog,4256.0,LKR,2026-05-11,monthly
EML00065,CUST0015,"Uber transaction processed: LKR 62,785.",0,Uber,62785.0,LKR,2026-02-12,one-time
EML00066,CUST0130,Payment of $17.95 was processed for your YouTube Premium plan. Next billing date: 14 Apr 2026.,1,YouTube Premium,17.95,USD,2026-04-14,monthly
EML00067,CUST0065,"Your NWSDB account has a balance of LKR 5,845.",0,NWSDB,5845.0,LKR,2026-03-02,monthly
EML00068,CUST0013,"PickMe Food receipt: transaction amount LKR 1,866.",0,PickMe Food,1866.0,LKR,2026-05-04,one-time
EML00069,CUST0008,Billing confirmation for Apple Services: $16.84.,1,Apple Services,16.84,USD,2026-05-24,monthly
EML00070,CUST0071,Payment of $7.82 was processed for your Spotify Premium plan. Next billing date: 08 Mar 2026.,1,Spotify Premium,7.82,USD,2026-03-08,monthly
EML00071,CUST0201,Your Microsoft 365 account was charged $7.76. The current plan remains active.,1,Microsoft 365,7.76,USD,2026-02-16,monthly
EML00072,CUST0208,Payment of LKR 949 is due for your NWSDB account for 15 Jul 2026.,0,NWSDB,949.0,LKR,2026-07-15,monthly
EML00073,CUST0039,Your payment of $20.00 for ChatGPT Plus was received for the current period.,1,ChatGPT Plus,20.0,USD,2026-06-23,monthly
EML00074,CUST0179,Your Temu transaction was completed for $91.26.,0,Temu,91.26,USD,2026-05-15,one-time
EML00075,CUST0083,"PickMe receipt: transaction amount LKR 49,361.",0,PickMe,49361.0,LKR,2026-01-30,one-time
EML00076,CUST0167,"Payment of LKR 1,609 is due for your Dialog account for 28 May 2026.",0,Dialog,1609.0,LKR,2026-05-28,monthly
EML00077,CUST0124,Your payment of $46.33 for Adobe Creative Cloud was received for the current period.,1,Adobe Creative Cloud,46.33,USD,2026-03-21,monthly
EML00078,CUST0170,"Payment received for Daraz order #276373: LKR 77,793.",0,Daraz,77793.0,LKR,2026-03-17,one-time
EML00079,CUST0231,Your payment of $17.64 for YouTube Premium was received for the current period.,1,YouTube Premium,17.64,USD,2026-02-24,monthly
EML00080,CUST0131,"Payment received for BOC order #740419: LKR 7,131.",0,BOC,7131.0,LKR,2026-02-04,one-time
EML00081,CUST0161,"Payment of LKR 1,914 is due for your Mobitel account for 08 Jan 2026.",0,Mobitel,1914.0,LKR,2026-01-08,monthly
EML00082,CUST0021,"NWSDB account statement: LKR 2,568 payable for the current period.",0,NWSDB,2568.0,LKR,2026-07-08,monthly
EML00083,CUST0172,Your Netflix account was charged $14.97. The current plan remains active.,1,Netflix,14.97,USD,2026-02-10,monthly
EML00084,CUST0229,Billing confirmation for Google One: $2.06.,1,Google One,2.06,USD,2026-01-31,monthly
EML00085,CUST0220,"BOC transaction processed: LKR 84,034.",0,BOC,84034.0,LKR,2026-01-10,one-time
EML00086,CUST0168,Payment of $60.78 was processed for your Adobe Creative Cloud plan. Next billing date: 08 May 2026.,1,Adobe Creative Cloud,60.78,USD,2026-05-08,monthly
EML00087,CUST0052,Your payment of $21.01 for Netflix was received for the current period.,1,Netflix,21.01,USD,2026-03-03,monthly
EML00088,CUST0266,"Payment of LKR 6,158 is due for your SLT account for 04 Feb 2026.",0,SLT,6158.0,LKR,2026-02-04,monthly
EML00089,CUST0163,Your payment of $11.44 for Spotify Premium was received for the current period.,1,Spotify Premium,11.44,USD,2026-04-21,monthly
EML00090,CUST0219,"Your Uber transaction was completed for LKR 80,003.",0,Uber,80003.0,LKR,2026-04-23,one-time
EML00091,CUST0004,"Your Mobitel account has a balance of LKR 8,012.",0,Mobitel,8012.0,LKR,2026-02-19,monthly
EML00092,CUST0200,"Your PickMe Food transaction was completed for LKR 76,570.",0,PickMe Food,76570.0,LKR,2026-02-13,one-time
EML00093,CUST0171,"Your HNB transaction was completed for LKR 5,997.",0,HNB,5997.0,LKR,2026-06-21,one-time
EML00094,CUST0058,Your payment of $62.39 for Adobe Creative Cloud was received for the current period.,1,Adobe Creative Cloud,62.39,USD,2026-03-09,monthly
EML00095,CUST0186,"Your CEB account has a balance of LKR 11,520.",0,CEB,11520.0,LKR,2026-04-11,monthly
EML00096,CUST0113,Your payment of $59.82 for Adobe Creative Cloud was received for the current period.,1,Adobe Creative Cloud,59.82,USD,2026-02-16,monthly
EML00097,CUST0297,Your Adobe Creative Cloud account was charged $38.28. The current plan remains active.,1,Adobe Creative Cloud,38.28,USD,2026-03-31,monthly
EML00098,CUST0065,Your Spotify Premium account was charged $8.93. The current plan remains active.,1,Spotify Premium,8.93,USD,2026-02-09,monthly
EML00099,CUST0241,Your payment of $12.74 for Apple Services was received for the current period.,1,Apple Services,12.74,USD,2026-07-02,monthly
EML00100,CUST0097,"Your Mobitel account has a balance of LKR 3,571.",0,Mobitel,3571.0,LKR,2026-05-11,monthly
EML00101,CUST0185,"Sampath Bank transaction processed: LKR 82,183.",0,Sampath Bank,82183.0,LKR,2026-03-07,one-time
EML00102,CUST0167,"Payment received for BOC order #774331: LKR 94,692.",0,BOC,94692.0,LKR,2026-05-02,one-time
EML00103,CUST0123,"Your Commercial Bank transaction was completed for LKR 11,039.",0,Commercial Bank,11039.0,LKR,2026-08-10,one-time
EML00104,CUST0087,"Payment received for PickMe order #179333: LKR 79,257.",0,PickMe,79257.0,LKR,2026-02-17,one-time
EML00105,CUST0204,"Payment of LKR 3,794 is due for your SLT account for 16 Jul 2026.",0,SLT,3794.0,LKR,2026-07-16,monthly
EML00106,CUST0038,Payment of $8.42 was processed for your Spotify Premium plan. Next billing date: 24 Feb 2026.,1,Spotify Premium,8.42,USD,2026-02-24,monthly
EML00107,CUST0257,"CEB account statement: LKR 5,793 payable for the current period.",0,CEB,5793.0,LKR,2026-01-30,monthly
EML00108,CUST0112,Your Spotify Premium account was charged $5.90. The current plan remains active.,1,Spotify Premium,5.9,USD,2026-03-10,monthly
EML00109,CUST0208,"Dialog billing notice: current amount payable is LKR 2,189.",0,Dialog,2189.0,LKR,2026-02-05,monthly
EML00110,CUST0104,Your Canva Pro account was charged $17.00. The current plan remains active.,1,Canva Pro,17.0,USD,2026-03-10,monthly
EML00111,CUST0065,Your payment of $10.36 for Microsoft 365 was received for the current period.,1,Microsoft 365,10.36,USD,2026-03-17,monthly
EML00112,CUST0254,"Payment received for HNB order #446566: LKR 17,969.",0,HNB,17969.0,LKR,2026-05-13,one-time
EML00113,CUST0219,"Payment of LKR 52,392 was processed for your Google Play plan. Next billing date: 05 Feb 2026.",1,Google Play,52392.0,LKR,2026-02-05,weekly
EML00114,CUST0266,"SLT billing notice: current amount payable is LKR 3,479.",0,SLT,3479.0,LKR,2026-01-05,monthly
EML00115,CUST0156,"Payment of LKR 1,896 is due for your NWSDB account for 01 Feb 2026.",0,NWSDB,1896.0,LKR,2026-02-01,monthly
EML00116,CUST0106,Payment of $11.06 was processed for your Microsoft 365 plan. Next billing date: 14 May 2026.,1,Microsoft 365,11.06,USD,2026-05-14,monthly
EML00117,CUST0051,Billing confirmation for Adobe Creative Cloud: $33.23.,1,Adobe Creative Cloud,33.23,USD,2026-01-22,monthly
EML00118,CUST0021,"CEB account statement: LKR 12,853 payable for the current period.",0,CEB,12853.0,LKR,2026-01-01,monthly
EML00119,CUST0130,Payment of $15.80 was processed for your YouTube Premium plan. Next billing date: 13 Jun 2026.,1,YouTube Premium,15.8,USD,2026-06-13,monthly
EML00120,CUST0206,Payment of $16.41 was processed for your YouTube Premium plan. Next billing date: 30 Apr 2026.,1,YouTube Premium,16.41,USD,2026-04-30,monthly
EML00121,CUST0165,"PickMe transaction processed: LKR 64,621.",0,PickMe,64621.0,LKR,2026-02-20,one-time
EML00122,CUST0158,"SLT account statement: LKR 8,041 payable for the current period.",0,SLT,8041.0,LKR,2026-03-01,monthly
EML00123,CUST0237,Your Google One account was charged $14.98. The current plan remains active.,1,Google One,14.98,USD,2026-05-26,monthly
EML00124,CUST0110,Your Spotify Premium account was charged $9.73. The current plan remains active.,1,Spotify Premium,9.73,USD,2026-06-29,monthly
EML00125,CUST0252,Billing confirmation for Canva Pro: $15.99.,1,Canva Pro,15.99,USD,2026-06-25,monthly
EML00126,CUST0227,"Payment received for BOC order #251429: LKR 56,308.",0,BOC,56308.0,LKR,2026-04-27,one-time
EML00127,CUST0026,"Payment of LKR 34,632 was processed for your Google Play plan. Next billing date: 01 Feb 2026.",1,Google Play,34632.0,LKR,2026-02-01,weekly
EML00128,CUST0052,Your Apple Services account was charged $9.66. The current plan remains active.,1,Apple Services,9.66,USD,2026-04-16,monthly
EML00129,CUST0132,Payment received for Temu order #211250: $19.90.,0,Temu,19.9,USD,2026-03-14,one-time
EML00130,CUST0271,"Payment of LKR 14,642 is due for your CEB account for 14 May 2026.",0,CEB,14642.0,LKR,2026-05-14,monthly
EML00131,CUST0253,"Your Sampath Bank transaction was completed for LKR 48,633.",0,Sampath Bank,48633.0,LKR,2026-06-25,one-time
EML00132,CUST0045,"CEB account statement: LKR 6,236 payable for the current period.",0,CEB,6236.0,LKR,2026-07-06,monthly
EML00133,CUST0160,"BOC transaction processed: LKR 11,705.",0,BOC,11705.0,LKR,2026-02-26,one-time
EML00134,CUST0014,Your payment of $5.28 for Spotify Premium was received for the current period.,1,Spotify Premium,5.28,USD,2026-02-03,monthly
EML00135,CUST0132,Your payment of $6.82 for Spotify Premium was received for the current period.,1,Spotify Premium,6.82,USD,2026-02-25,monthly
EML00136,CUST0235,Payment of $43.46 was processed for your Figma plan. Next billing date: 22 Apr 2026.,1,Figma,43.46,USD,2026-04-22,monthly
EML00137,CUST0045,"Payment received for HNB order #632949: LKR 63,620.",0,HNB,63620.0,LKR,2026-03-29,one-time
EML00138,CUST0167,"Daraz receipt: transaction amount LKR 90,521.",0,Daraz,90521.0,LKR,2026-02-11,one-time
EML00139,CUST0216,Payment of $16.53 was processed for your Apple Services plan. Next billing date: 22 Apr 2026.,1,Apple Services,16.53,USD,2026-04-22,monthly
EML00140,CUST0267,"LECO billing notice: current amount payable is LKR 11,409.",0,LECO,11409.0,LKR,2026-06-14,monthly
EML00141,CUST0275,"Sampath Bank transaction processed: LKR 57,376.",0,Sampath Bank,57376.0,LKR,2026-02-06,one-time
EML00142,CUST0138,"Your SLT account has a balance of LKR 6,800.",0,SLT,6800.0,LKR,2026-03-01,monthly
EML00143,CUST0036,Your Netflix account was charged $8.47. The current plan remains active.,1,Netflix,8.47,USD,2026-05-10,monthly
EML00144,CUST0267,"Payment of LKR 7,477 is due for your Mobitel account for 18 Feb 2026.",0,Mobitel,7477.0,LKR,2026-02-18,monthly
EML00145,CUST0214,"Your Uber transaction was completed for LKR 93,724.",0,Uber,93724.0,LKR,2026-02-11,one-time
EML00146,CUST0081,Billing confirmation for YouTube Premium: $18.61.,1,YouTube Premium,18.61,USD,2026-02-22,monthly
EML00147,CUST0292,"Dialog account statement: LKR 7,866 payable for the current period.",0,Dialog,7866.0,LKR,2026-03-31,monthly
EML00148,CUST0003,Your payment of $48.44 for Adobe Creative Cloud was received for the current period.,1,Adobe Creative Cloud,48.44,USD,2026-05-31,monthly
EML00149,CUST0124,"Your payment of LKR 30,584 for Google Play was received for the current period.",1,Google Play,30584.0,LKR,2026-01-30,weekly
EML00150,CUST0284,Billing confirmation for Apple Services: $19.52.,1,Apple Services,19.52,USD,2026-02-15,monthly
EML00151,CUST0081,Billing confirmation for YouTube Premium: $17.75.,1,YouTube Premium,17.75,USD,2026-03-24,monthly
EML00152,CUST0161,Payment of $15.33 was processed for your YouTube Premium plan. Next billing date: 14 Jul 2026.,1,YouTube Premium,15.33,USD,2026-07-14,monthly
EML00153,CUST0195,"Daraz receipt: transaction amount LKR 48,666.",0,Daraz,48666.0,LKR,2026-05-18,one-time
EML00154,CUST0008,Payment of $39.35 was processed for your Adobe Creative Cloud plan. Next billing date: 23 Apr 2026.,1,Adobe Creative Cloud,39.35,USD,2026-04-23,monthly
EML00155,CUST0005,Your payment of $8.15 for Google One was received for the current period.,1,Google One,8.15,USD,2026-04-17,monthly
EML00156,CUST0184,"Payment received for PickMe Food order #640639: LKR 67,682.",0,PickMe Food,67682.0,LKR,2026-02-01,one-time
EML00157,CUST0103,Billing confirmation for YouTube Premium: $16.26.,1,YouTube Premium,16.26,USD,2026-02-28,monthly
EML00158,CUST0086,"Payment of LKR 7,205 is due for your CEB account for 11 Feb 2026.",0,CEB,7205.0,LKR,2026-02-11,monthly
EML00159,CUST0120,"Payment of LKR 10,510 is due for your LECO account for 19 Jan 2026.",0,LECO,10510.0,LKR,2026-01-19,monthly
EML00160,CUST0123,Your YouTube Premium account was charged $15.35. The current plan remains active.,1,YouTube Premium,15.35,USD,2026-03-30,monthly
EML00161,CUST0277,"Your CEB account has a balance of LKR 12,715.",0,CEB,12715.0,LKR,2026-02-13,monthly
EML00162,CUST0253,"Payment received for BOC order #646835: LKR 42,143.",0,BOC,42143.0,LKR,2026-01-01,one-time
EML00163,CUST0234,"Your LECO account has a balance of LKR 11,852.",0,LECO,11852.0,LKR,2026-03-02,monthly
EML00164,CUST0198,Your Netflix account was charged $16.42. The current plan remains active.,1,Netflix,16.42,USD,2026-02-25,monthly
EML00165,CUST0152,Payment received for Temu order #599169: $99.59.,0,Temu,99.59,USD,2026-01-05,one-time
EML00166,CUST0282,"Your Uber Eats transaction was completed for LKR 19,433.",0,Uber Eats,19433.0,LKR,2026-04-30,one-time
EML00167,CUST0258,"Mobitel billing notice: current amount payable is LKR 3,225.",0,Mobitel,3225.0,LKR,2026-05-23,monthly
EML00168,CUST0262,"Payment of LKR 5,883 is due for your LECO account for 17 Mar 2026.",0,LECO,5883.0,LKR,2026-03-17,monthly
EML00169,CUST0275,Payment received for PickMe Food order #949595: LKR 849.,0,PickMe Food,849.0,LKR,2026-04-21,one-time
EML00170,CUST0276,Your payment of $18.91 for Figma was received for the current period.,1,Figma,18.91,USD,2026-03-24,monthly
EML00171,CUST0243,"CEB account statement: LKR 13,637 payable for the current period.",0,CEB,13637.0,LKR,2026-03-01,monthly
EML00172,CUST0222,"Payment received for Commercial Bank order #215874: LKR 15,891.",0,Commercial Bank,15891.0,LKR,2026-04-04,one-time
EML00173,CUST0045,"Your CEB account has a balance of LKR 14,141.",0,CEB,14141.0,LKR,2026-03-07,monthly
EML00174,CUST0131,"NWSDB account statement: LKR 1,281 payable for the current period.",0,NWSDB,1281.0,LKR,2026-01-05,monthly
EML00175,CUST0229,Billing confirmation for Apple Services: $14.39.,1,Apple Services,14.39,USD,2026-02-02,monthly
EML00176,CUST0082,Your Canva Pro account was charged $14.06. The current plan remains active.,1,Canva Pro,14.06,USD,2026-05-01,monthly
EML00177,CUST0288,"Payment of LKR 1,339 was processed for your Google Play plan. Next billing date: 11 Feb 2026.",1,Google Play,1339.0,LKR,2026-02-11,weekly
EML00178,CUST0042,"Payment of LKR 2,559 was processed for your Google Play plan. Next billing date: 30 Jan 2026.",1,Google Play,2559.0,LKR,2026-01-30,weekly
EML00179,CUST0213,Payment of $10.82 was processed for your Microsoft 365 plan. Next billing date: 30 May 2026.,1,Microsoft 365,10.82,USD,2026-05-30,monthly
EML00180,CUST0256,"Your PickMe Food transaction was completed for LKR 24,046.",0,PickMe Food,24046.0,LKR,2026-06-29,one-time
EML00181,CUST0049,"NWSDB account statement: LKR 4,516 payable for the current period.",0,NWSDB,4516.0,LKR,2026-05-23,monthly
EML00182,CUST0120,"Payment of LKR 1,620 is due for your NWSDB account for 23 May 2026.",0,NWSDB,1620.0,LKR,2026-05-23,monthly
EML00183,CUST0174,Your payment of $13.25 for Netflix was received for the current period.,1,Netflix,13.25,USD,2026-03-01,monthly
EML00184,CUST0150,Billing confirmation for Netflix: $21.27.,1,Netflix,21.27,USD,2026-04-12,monthly
EML00185,CUST0115,"Sampath Bank receipt: transaction amount LKR 94,651.",0,Sampath Bank,94651.0,LKR,2026-05-20,one-time
EML00186,CUST0206,Your Spotify Premium account was charged $7.42. The current plan remains active.,1,Spotify Premium,7.42,USD,2026-03-24,monthly
EML00187,CUST0220,"Your NWSDB account has a balance of LKR 1,700.",0,NWSDB,1700.0,LKR,2025-12-29,monthly
EML00188,CUST0217,Your Apple Services account was charged $19.57. The current plan remains active.,1,Apple Services,19.57,USD,2026-04-25,monthly
EML00189,CUST0003,Your Temu transaction was completed for $59.06.,0,Temu,59.06,USD,2026-04-05,one-time
EML00190,CUST0137,"Your SLT account has a balance of LKR 7,437.",0,SLT,7437.0,LKR,2026-04-12,monthly
EML00191,CUST0111,Payment of $15.08 was processed for your YouTube Premium plan. Next billing date: 13 Jul 2026.,1,YouTube Premium,15.08,USD,2026-07-13,monthly
EML00192,CUST0116,"Payment received for Daraz order #882731: LKR 19,016.",0,Daraz,19016.0,LKR,2026-01-20,one-time
EML00193,CUST0146,"Uber receipt: transaction amount LKR 3,995.",0,Uber,3995.0,LKR,2026-02-12,one-time
EML00194,CUST0088,"Payment received for PickMe order #511982: LKR 35,353.",0,PickMe,35353.0,LKR,2026-07-10,one-time
EML00195,CUST0158,Payment of $16.68 was processed for your Google One plan. Next billing date: 29 Mar 2026.,1,Google One,16.68,USD,2026-03-29,monthly
EML00196,CUST0039,"Payment received for HNB order #355037: LKR 39,376.",0,HNB,39376.0,LKR,2026-07-16,one-time
EML00197,CUST0035,Your Microsoft 365 account was charged $8.97. The current plan remains active.,1,Microsoft 365,8.97,USD,2026-01-24,monthly
EML00198,CUST0199,"PickMe Food transaction processed: LKR 15,819.",0,PickMe Food,15819.0,LKR,2026-01-04,one-time
EML00199,CUST0148,Your ChatGPT Plus account was charged $20.00. The current plan remains active.,1,ChatGPT Plus,20.0,USD,2026-06-25,monthly
EML00200,CUST0187,Billing confirmation for Netflix: $18.07.,1,Netflix,18.07,USD,2026-06-19,monthly
EML00201,CUST0298,Your Apple Services account was charged $16.20. The current plan remains active.,1,Apple Services,16.2,USD,2026-03-14,monthly
EML00202,CUST0224,Your YouTube Premium account was charged $15.17. The current plan remains active.,1,YouTube Premium,15.17,USD,2026-01-25,monthly
EML00203,CUST0114,Payment of $8.40 was processed for your Microsoft 365 plan. Next billing date: 03 May 2026.,1,Microsoft 365,8.4,USD,2026-05-03,monthly
EML00204,CUST0252,"Commercial Bank transaction processed: LKR 69,656.",0,Commercial Bank,69656.0,LKR,2026-04-28,one-time
EML00205,CUST0219,"PickMe Food transaction processed: LKR 12,025.",0,PickMe Food,12025.0,LKR,2026-07-07,one-time
EML00206,CUST0243,"Daraz transaction processed: LKR 70,646.",0,Daraz,70646.0,LKR,2026-03-27,one-time
EML00207,CUST0135,Payment of $19.09 was processed for your Canva Pro plan. Next billing date: 21 Apr 2026.,1,Canva Pro,19.09,USD,2026-04-21,monthly
EML00208,CUST0083,Payment of $9.37 was processed for your Apple Services plan. Next billing date: 06 Jul 2026.,1,Apple Services,9.37,USD,2026-07-06,monthly
EML00209,CUST0051,Payment of $15.13 was processed for your Google One plan. Next billing date: 01 May 2026.,1,Google One,15.13,USD,2026-05-01,monthly
EML00210,CUST0251,"PickMe transaction processed: LKR 60,899.",0,PickMe,60899.0,LKR,2026-06-07,one-time
EML00211,CUST0002,Payment of $17.98 was processed for your Figma plan. Next billing date: 09 Apr 2026.,1,Figma,17.98,USD,2026-04-09,monthly
EML00212,CUST0179,"HNB transaction processed: LKR 56,341.",0,HNB,56341.0,LKR,2026-04-13,one-time
